"V1" "V2" "V3" "V4" "V5"
"2282" "Mcph1" "Mcph1" 244329 "MCPH1" 79648
"2283" "Chrm2" "Chrm2" 243764 "CHRM2" 1129
"2284" "Whsc1l1" "Whsc1l1" 234135 "WHSC1L1" 54904
"2285" "Slamf6" "Slamf6" 30925 "SLAMF6" 114836
"2286" "Mtap7d3" "Mtap7d3" 320923 "MAP7D3" 79649
"2287" "Sec22c" "Sec22c" 215474 "SEC22C" 9117
"2288" "Xpa" "Xpa" 22590 "XPA" 7507
"2289" "Zfp874b" "Zfp874b" 408067 "ZNF720" 124411
"2290" "Nfkb2" "Nfkb2" 18034 "NFKB2" 4791
"2291" "Ddx5" "Ddx5" 13207 "DDX5" 1655
"2292" "Ddx5" "Ddx5" 13207 "DDX5" 100616387
"2293" "Ddx5" "Ddx5" 13207 "DDX5" 100616408
"2294" "Sema4c" "Sema4c" 20353 "SEMA4C" 54910
"2295" "Bscl2" "Bscl2" 14705 "BSCL2" 26580
"2296" "E2f5" "E2f5" 13559 "E2F5" 1875
"2297" "Ankrd54" "Ankrd54" 223690 "ANKRD54" 129138
"2298" "Fem1c" "Fem1c" 240263 "FEM1C" 56929
"2299" "Mapkapk3" "Mapkapk3" 102626 "MAPKAPK3" 7867
"2300" "Cldn6" "Cldn6" 54419 "CLDN6" 9074
"2301" "Ggt1" "Ggt1" 14598 "GGTLC1" 92086
"2302" "Ggt1" "Ggt1" 14598 "GGT1" 2678
"2303" "Ggt1" "Ggt1" 14598 "GGT1" 728441
"2304" "Dfna5" "Dfna5" 54722 "DFNA5" 1687
"2305" "Sp8" "Sp8" 320145 "SP8" 221833
"2306" "Polg2" "Polg2" 50776 "POLG2" 11232
"2307" "Pln" "Pln" 18821 "PLN" 5350
"2308" "Cdh18" "Cdh18" 320865 "CDH18" 1016
"2309" "Rps19bp1" "Rps19bp1" 66538 "RPS19BP1" 91582
"2310" "Edem1" "Edem1" 192193 "EDEM1" 9695
"2311" "Commd9" "Commd9" 76501 "COMMD9" 29099
"2312" "Prpf18" "Prpf18" 67229 "PRPF18" 8559
"2313" "Fam49b" "Fam49b" 223601 "FAM49B" 51571
"2314" "Ttc27" "Ttc27" 74196 "TTC27" 55622
"2315" "Taf1c" "Taf1c" 21341 "TAF1C" 9013
"2316" "Hoxb13" "Hoxb13" 15408 "HOXB13" 10481
"2317" "Micu3" "Micu3" 78506 "MICU3" 286097
"2318" "Gprc5c" "Gprc5c" 70355 "GPRC5C" 55890
"2319" "Slc8a2" "Slc8a2" 110891 "SLC8A2" 6543
"2320" "Vps11" "Vps11" 71732 "VPS11" 55823
"2321" "Erf" "Erf" 13875 "ERF" 2077
"2322" "Dusp22" "Dusp22" 105352 "DUSP22" 56940
"2323" "Dusp22" "Dusp22" 105352 "DUSP22" 100653247
"2324" "Tead1" "Tead1" 21676 "TEAD1" 7003
"2325" "Ugt1a7c" "Ugt1a7c" 394432 "UGT1A8" 54576
"2326" "Ugt1a7c" "Ugt1a7c" 394432 "UGT1A10" 54575
"2327" "Ugt1a7c" "Ugt1a7c" 394432 "UGT1A9" 54600
"2328" "Ugt1a7c" "Ugt1a7c" 394432 "UGT1A7" 54577
"2329" "Adrb2" "Adrb2" 11555 "ADRB2" 154
"2330" "Fam103a1" "Fam103a1" 67148 "FAM103A1" 83640
"2331" "Fam103a1" "Gm4199" 67148 "FAM103A1" 83640
"2332" "Aldoc" "Aldoc" 11676 "ALDOC" 230
"2333" "Ddx50" "Ddx50" 94213 "DDX50" 79009
"2334" "Tgif2lx1" "Tgif2lx1" 245583 "TGIF2LY" 90655
"2335" "Tgif2lx1" "Tgif2lx2" 245583 "TGIF2LY" 90655
"2336" "Reep2" "Reep2" 225362 "REEP2" 51308
"2337" "Ctbs" "Ctbs" 74245 "CTBS" 1486
"2338" "Nupr1" "Nupr1" 56312 "NUPR1" 26471
"2339" "Zfyve21" "Zfyve21" 68520 "ZFYVE21" 79038
"2340" "Dnase1" "Dnase1" 13419 "DNASE1" 1773
"2341" "Asah2" "Asah2" 54447 "ASAH2C" NaN
"2342" "Cirh1a" "Cirh1a" 21771 "CIRH1A" 84916
"2343" "Tstd1" "Tstd1" 226654 "TSTD1" 100131187
"2344" "Mrpl36" "Mrpl36" 94066 "MRPL36" 64979
"2345" "Gcsam" "Gcsam" 14525 "GCSAM" 257144
"2346" "Cyb5d2" "Cyb5d2" 192986 "CYB5D2" 124936
"2347" "Apobr" "Apobr" 171504 "APOBR" 55911
"2348" "Tmem240" "Tmem240" 381582 "TMEM240" 339453
"2349" "Bend7" "Bend7" 209645 "BEND7" 222389
"2350" "Entpd7" "Entpd7" 93685 "ENTPD7" 57089
"2351" "BC026590" "BC026590" 230234 "FAM206A" 54942
"2352" "Msl3" "Msl3" 17692 "MSL3" 10943
"2353" "Perp" "Perp" 64058 "PERP" 64065
"2354" "1190007I07Rik" "1190007I07Rik" 544717 "C12orf73" 728568
"2355" "Gm9843" "Fau" 14109 "FAU" 2197
"2356" "Usp20" "Usp20" 74270 "USP20" 10868
"2357" "Rpia" "Rpia" 19895 "RPIA" 22934
"2358" "Rpia" "Rpia" 19895 "RPIA" 101060545
"2359" "Arhgef38" "Arhgef38" 77669 "ARHGEF38" 54848
"2360" "Kif3b" "Kif3b" 16569 "KIF3B" 9371
"2361" "Fabp1" "Fabp1" 14080 "FABP1" 2168
"2362" "Chd1" "Chd1" 12648 "CHD1" 1105
"2363" "Nlgn2" "Nlgn2" 216856 "NLGN2" 57555
"2364" "Nsmaf" "Nsmaf" 18201 "NSMAF" 8439
"2365" "Tlk2" "Tlk2" 24086 "TLK2" 11011
"2366" "Sh3rf3" "Sh3rf3" 237353 "SH3RF3" 344558
"2367" "Alad" "Alad" 17025 "ALAD" 210
"2368" "Ccdc6" "Ccdc6" 76551 "CCDC6" 8030
"2369" "Ttll10" "Ttll10" 330010 "TTLL10" 254173
"2370" "Fam160b1" "Fam160b1" 226252 "FAM160B1" 57700
"2371" "Tmem39a" "Tmem39a" 67846 "TMEM39A" 55254
"2372" "Ppp1r3f" "Ppp1r3f" 54646 "PPP1R3F" 89801
"2373" "Prss22" "Prss22" 70835 "PRSS22" 64063
"2374" "Hemgn" "Hemgn" 93966 "HEMGN" 55363
"2375" "Usp53" "Usp53" 99526 "USP53" 54532
"2376" "Sntb2" "Sntb2" 20650 "SNTB2" 6645
"2377" "Rasgrp3" "Rasgrp3" 240168 "RASGRP3" 25780
"2378" "Fam21" "Fam21" 28006 "FAM21B" 55747
"2379" "Zfp365" "Zfp365" 216049 "ZNF365" 22891
"2380" "Fsd1l" "Fsd1l" 319636 "FSD1L" 83856
"2381" "Fut1" "Fut1" 14343 "FUT1" 2523
"2382" "Pkhd1" "Pkhd1" 241035 "PKHD1" 5314
"2383" "Gch1" "Gch1" 14528 "GCH1" 2643
"2384" "Dnmt3b" "Dnmt3b" 13436 "DNMT3B" 1789
"2385" "Ano4" "Ano4" 320091 "ANO4" 121601
"2386" "Layn" "Layn" 244864 "LAYN" 143903
"2387" "Slc29a3" "Slc29a3" 71279 "SLC29A3" 55315
"2388" "Kpna2" "Kpna2" 16647 "KPNA2" 3838
"2389" "Vegfa" "Vegfa" 22339 "VEGFA" 7422
"2390" "Col15a1" "Col15a1" 12819 "COL15A1" 1306
"2391" "Sult1b1" "Sult1b1" 56362 "SULT1B1" 27284
"2392" "Slc25a5" "Slc25a5" 11740 "SLC25A5" 292
"2393" "Itgb1bp1" "Itgb1bp1" 16413 "ITGB1BP1" 9270
"2394" "Suz12" "Suz12" 52615 "SUZ12" 23512
"2395" "Ncapd3" "Ncapd3" 78658 "NCAPD3" 23310
"2396" "Cyp3a11" "Cyp3a11" 13112 "CYP3A5" 1577
"2397" "Pla2g7" "Pla2g7" 27226 "PLA2G7" 7941
"2398" "Zfp367" "Zfp367" 238673 "ZNF367" 195828
"2399" "Adamts10" "Adamts10" 224697 "ADAMTS10" 81794
"2400" "Hspa12b" "Hspa12b" 72630 "HSPA12B" 116835
"2401" "Psmb7" "Psmb7" 19177 "PSMB7" 5695
"2402" "Icam5" "Icam5" 15898 "ICAM5" 7087
"2403" "Fam166b" "Fam166b" 329831 "FAM166B" 730112
"2404" "Mmel1" "Mmel1" 27390 "MMEL1" 79258
"2405" "Cry1" "Cry1" 12952 "CRY1" 1407
"2406" "Bcam" "Bcam" 57278 "BCAM" 4059
"2407" "Dpysl4" "Dpysl4" 26757 "DPYSL4" 10570
"2408" "Sspn" "Sspn" 16651 "SSPN" 8082
"2409" "Fam132a" "Fam132a" 67389 "FAM132A" 388581
"2410" "Tbck" "Tbck" 271981 "TBCK" 93627
"2411" "Tmem205" "Tmem205" 235043 "TMEM205" 374882
"2412" "Fam109a" "Fam109a" 231717 "FAM109A" 144717
"2413" "9330182L06Rik" "9330182L06Rik" 231014 "KIAA1324L" 222223
"2414" "Zdhhc20" "Zdhhc20" 75965 "ZDHHC20" 253832
"2415" "Ccdc101" "Ccdc101" 75565 "CCDC101" 112869
"2416" "Hsp90b1" "Hsp90b1" 22027 "HSP90B1" 7184
"2417" "Hsp90b1" "Hsp90b1" 22027 "HSP90B1" 100500842
"2418" "B3gnt3" "B3gnt3" 72297 "B3GNT3" 10331
"2419" "Myd88" "Myd88" 17874 "MYD88" 4615
"2420" "Map2k6" "Map2k6" 26399 "MAP2K6" 5608
"2421" "Ust" "Ust" 338362 "UST" 10090
"2422" "Smad5" "Smad5" 17129 "SMAD5" 4090
"2423" "Polr2c" "Polr2c" 20021 "POLR2C" 5432
"2424" "Cacna1i" "Cacna1i" 239556 "CACNA1I" 8911
"2425" "Usb1" "Usb1" 101985 "USB1" 79650
"2426" "Anxa8" "Anxa8" 11752 "ANXA8" 653145
"2427" "Pou2af1" "Pou2af1" 18985 "POU2AF1" 5450
"2428" "Cd97" "Cd97" 26364 "CD97" 976
"2429" "G6pc" "G6pc" 14377 "G6PC" 2538
"2430" "Mypop" "Mypop" 232934 "MYPOP" 339344
"2431" "Arfgap1" "Arfgap1" 228998 "ARFGAP1" 55738
"2432" "Cadps" "Cadps" 27062 "CADPS" 8618
"2433" "Fgg" "Fgg" 99571 "FGG" 2266
"2434" "Syde2" "Syde2" 214804 "SYDE2" 84144
"2435" "Slc6a3" "Slc6a3" 13162 "SLC6A3" 6531
"2436" "Bdh2" "Bdh2" 69772 "BDH2" 56898
"2437" "Nedd1" "Nedd1" 17997 "NEDD1" 121441
"2438" "1110004E09Rik" "1110004E09Rik" 68001 "C21orf59" 56683
"2439" "Krcc1" "Krcc1" 57896 "KRCC1" 51315
"2440" "Egr2" "Egr2" 13654 "EGR2" 1959
"2441" "Bloc1s5" "Bloc1s5" 17828 "BLOC1S5" 63915
"2442" "Cdc25b" "Cdc25b" 12531 "CDC25B" 994
"2443" "Fahd2a" "Fahd2a" 68126 "FAHD2B" 151313
"2444" "Pcdhga11" "Pcdhgb6" 93703 "PCDHGC5" 5098
"2445" "Pcdhga11" "Pcdhgb6" 93703 "PCDHGC5" 56097
"2446" "Pcdhga11" "Pcdhgb6" 93706 "PCDHGC5" 5098
"2447" "Pcdhga11" "Pcdhgb6" 93706 "PCDHGC5" 56097
"2448" "Pcdhga11" "Pcdhgb6" 93707 "PCDHGC5" 5098
"2449" "Pcdhga11" "Pcdhgb6" 93707 "PCDHGC5" 56097
"2450" "Pcdhga11" "Pcdhgb6" 93708 "PCDHGC5" 5098
"2451" "Pcdhga11" "Pcdhgb6" 93708 "PCDHGC5" 56097
"2452" "Pcdhga11" "Pcdhgb6" 93711 "PCDHGC5" 5098
"2453" "Pcdhga11" "Pcdhgb6" 93711 "PCDHGC5" 56097
"2454" "Pcdhga11" "Pcdhgb6" 93716 "PCDHGC5" 5098
"2455" "Pcdhga11" "Pcdhgb6" 93716 "PCDHGC5" 56097
"2456" "Pcdhga11" "Pcdhgb6" 93717 "PCDHGC5" 5098
"2457" "Pcdhga11" "Pcdhgb6" 93717 "PCDHGC5" 56097
"2458" "Pcdhga11" "Pcdhgb6" 93723 "PCDHGC5" 5098
"2459" "Pcdhga11" "Pcdhgb6" 93723 "PCDHGC5" 56097
"2460" "Pcdhga11" "Pcdhgb6" 93724 "PCDHGC5" 5098
"2461" "Pcdhga11" "Pcdhgb6" 93724 "PCDHGC5" 56097
"2462" "Pcdhga11" "Pcdhgc3" 93703 "PCDHGC5" 5098
"2463" "Pcdhga11" "Pcdhgc3" 93703 "PCDHGC5" 56097
"2464" "Pcdhga11" "Pcdhgc3" 93706 "PCDHGC5" 5098
"2465" "Pcdhga11" "Pcdhgc3" 93706 "PCDHGC5" 56097
"2466" "Pcdhga11" "Pcdhgc3" 93707 "PCDHGC5" 5098
"2467" "Pcdhga11" "Pcdhgc3" 93707 "PCDHGC5" 56097
"2468" "Pcdhga11" "Pcdhgc3" 93708 "PCDHGC5" 5098
"2469" "Pcdhga11" "Pcdhgc3" 93708 "PCDHGC5" 56097
"2470" "Pcdhga11" "Pcdhgc3" 93711 "PCDHGC5" 5098
"2471" "Pcdhga11" "Pcdhgc3" 93711 "PCDHGC5" 56097
"2472" "Pcdhga11" "Pcdhgc3" 93716 "PCDHGC5" 5098
"2473" "Pcdhga11" "Pcdhgc3" 93716 "PCDHGC5" 56097
"2474" "Pcdhga11" "Pcdhgc3" 93717 "PCDHGC5" 5098
"2475" "Pcdhga11" "Pcdhgc3" 93717 "PCDHGC5" 56097
"2476" "Pcdhga11" "Pcdhgc3" 93723 "PCDHGC5" 5098
"2477" "Pcdhga11" "Pcdhgc3" 93723 "PCDHGC5" 56097
"2478" "Pcdhga11" "Pcdhgc3" 93724 "PCDHGC5" 5098
"2479" "Pcdhga11" "Pcdhgc3" 93724 "PCDHGC5" 56097
"2480" "Pcdhga11" "Pcdhgc4" 93703 "PCDHGC5" 5098
"2481" "Pcdhga11" "Pcdhgc4" 93703 "PCDHGC5" 56097
"2482" "Pcdhga11" "Pcdhgc4" 93706 "PCDHGC5" 5098
"2483" "Pcdhga11" "Pcdhgc4" 93706 "PCDHGC5" 56097
"2484" "Pcdhga11" "Pcdhgc4" 93707 "PCDHGC5" 5098
"2485" "Pcdhga11" "Pcdhgc4" 93707 "PCDHGC5" 56097
"2486" "Pcdhga11" "Pcdhgc4" 93708 "PCDHGC5" 5098
"2487" "Pcdhga11" "Pcdhgc4" 93708 "PCDHGC5" 56097
"2488" "Pcdhga11" "Pcdhgc4" 93711 "PCDHGC5" 5098
"2489" "Pcdhga11" "Pcdhgc4" 93711 "PCDHGC5" 56097
"2490" "Pcdhga11" "Pcdhgc4" 93716 "PCDHGC5" 5098
"2491" "Pcdhga11" "Pcdhgc4" 93716 "PCDHGC5" 56097
"2492" "Pcdhga11" "Pcdhgc4" 93717 "PCDHGC5" 5098
"2493" "Pcdhga11" "Pcdhgc4" 93717 "PCDHGC5" 56097
"2494" "Pcdhga11" "Pcdhgc4" 93723 "PCDHGC5" 5098
"2495" "Pcdhga11" "Pcdhgc4" 93723 "PCDHGC5" 56097
"2496" "Pcdhga11" "Pcdhgc4" 93724 "PCDHGC5" 5098
"2497" "Pcdhga11" "Pcdhgc4" 93724 "PCDHGC5" 56097
"2498" "Pcdhga11" "Pcdhgc5" 93703 "PCDHGC5" 5098
"2499" "Pcdhga11" "Pcdhgc5" 93703 "PCDHGC5" 56097
"2500" "Pcdhga11" "Pcdhgc5" 93706 "PCDHGC5" 5098
"2501" "Pcdhga11" "Pcdhgc5" 93706 "PCDHGC5" 56097
"2502" "Pcdhga11" "Pcdhgc5" 93707 "PCDHGC5" 5098
"2503" "Pcdhga11" "Pcdhgc5" 93707 "PCDHGC5" 56097
"2504" "Pcdhga11" "Pcdhgc5" 93708 "PCDHGC5" 5098
"2505" "Pcdhga11" "Pcdhgc5" 93708 "PCDHGC5" 56097
"2506" "Pcdhga11" "Pcdhgc5" 93711 "PCDHGC5" 5098
"2507" "Pcdhga11" "Pcdhgc5" 93711 "PCDHGC5" 56097
"2508" "Pcdhga11" "Pcdhgc5" 93716 "PCDHGC5" 5098
"2509" "Pcdhga11" "Pcdhgc5" 93716 "PCDHGC5" 56097
"2510" "Pcdhga11" "Pcdhgc5" 93717 "PCDHGC5" 5098
"2511" "Pcdhga11" "Pcdhgc5" 93717 "PCDHGC5" 56097
"2512" "Pcdhga11" "Pcdhgc5" 93723 "PCDHGC5" 5098
"2513" "Pcdhga11" "Pcdhgc5" 93723 "PCDHGC5" 56097
"2514" "Pcdhga11" "Pcdhgc5" 93724 "PCDHGC5" 5098
"2515" "Pcdhga11" "Pcdhgc5" 93724 "PCDHGC5" 56097
"2516" "Pcdhga11" "Pcdhga3" 93703 "PCDHGC5" 5098
"2517" "Pcdhga11" "Pcdhga3" 93703 "PCDHGC5" 56097
"2518" "Pcdhga11" "Pcdhga3" 93706 "PCDHGC5" 5098
"2519" "Pcdhga11" "Pcdhga3" 93706 "PCDHGC5" 56097
"2520" "Pcdhga11" "Pcdhga3" 93707 "PCDHGC5" 5098
"2521" "Pcdhga11" "Pcdhga3" 93707 "PCDHGC5" 56097
"2522" "Pcdhga11" "Pcdhga3" 93708 "PCDHGC5" 5098
"2523" "Pcdhga11" "Pcdhga3" 93708 "PCDHGC5" 56097
"2524" "Pcdhga11" "Pcdhga3" 93711 "PCDHGC5" 5098
"2525" "Pcdhga11" "Pcdhga3" 93711 "PCDHGC5" 56097
"2526" "Pcdhga11" "Pcdhga3" 93716 "PCDHGC5" 5098
"2527" "Pcdhga11" "Pcdhga3" 93716 "PCDHGC5" 56097
"2528" "Pcdhga11" "Pcdhga3" 93717 "PCDHGC5" 5098
"2529" "Pcdhga11" "Pcdhga3" 93717 "PCDHGC5" 56097
"2530" "Pcdhga11" "Pcdhga3" 93723 "PCDHGC5" 5098
"2531" "Pcdhga11" "Pcdhga3" 93723 "PCDHGC5" 56097
"2532" "Pcdhga11" "Pcdhga3" 93724 "PCDHGC5" 5098
"2533" "Pcdhga11" "Pcdhga3" 93724 "PCDHGC5" 56097
"2534" "Pcdhga11" "Pcdhga8" 93703 "PCDHGC5" 5098
"2535" "Pcdhga11" "Pcdhga8" 93703 "PCDHGC5" 56097
"2536" "Pcdhga11" "Pcdhga8" 93706 "PCDHGC5" 5098
"2537" "Pcdhga11" "Pcdhga8" 93706 "PCDHGC5" 56097
"2538" "Pcdhga11" "Pcdhga8" 93707 "PCDHGC5" 5098
"2539" "Pcdhga11" "Pcdhga8" 93707 "PCDHGC5" 56097
"2540" "Pcdhga11" "Pcdhga8" 93708 "PCDHGC5" 5098
"2541" "Pcdhga11" "Pcdhga8" 93708 "PCDHGC5" 56097
"2542" "Pcdhga11" "Pcdhga8" 93711 "PCDHGC5" 5098
"2543" "Pcdhga11" "Pcdhga8" 93711 "PCDHGC5" 56097
"2544" "Pcdhga11" "Pcdhga8" 93716 "PCDHGC5" 5098
"2545" "Pcdhga11" "Pcdhga8" 93716 "PCDHGC5" 56097
"2546" "Pcdhga11" "Pcdhga8" 93717 "PCDHGC5" 5098
"2547" "Pcdhga11" "Pcdhga8" 93717 "PCDHGC5" 56097
"2548" "Pcdhga11" "Pcdhga8" 93723 "PCDHGC5" 5098
"2549" "Pcdhga11" "Pcdhga8" 93723 "PCDHGC5" 56097
"2550" "Pcdhga11" "Pcdhga8" 93724 "PCDHGC5" 5098
"2551" "Pcdhga11" "Pcdhga8" 93724 "PCDHGC5" 56097
"2552" "Pcdhga11" "Pcdhga9" 93703 "PCDHGC5" 5098
"2553" "Pcdhga11" "Pcdhga9" 93703 "PCDHGC5" 56097
"2554" "Pcdhga11" "Pcdhga9" 93706 "PCDHGC5" 5098
"2555" "Pcdhga11" "Pcdhga9" 93706 "PCDHGC5" 56097
"2556" "Pcdhga11" "Pcdhga9" 93707 "PCDHGC5" 5098
"2557" "Pcdhga11" "Pcdhga9" 93707 "PCDHGC5" 56097
"2558" "Pcdhga11" "Pcdhga9" 93708 "PCDHGC5" 5098
"2559" "Pcdhga11" "Pcdhga9" 93708 "PCDHGC5" 56097
"2560" "Pcdhga11" "Pcdhga9" 93711 "PCDHGC5" 5098
"2561" "Pcdhga11" "Pcdhga9" 93711 "PCDHGC5" 56097
"2562" "Pcdhga11" "Pcdhga9" 93716 "PCDHGC5" 5098
"2563" "Pcdhga11" "Pcdhga9" 93716 "PCDHGC5" 56097
"2564" "Pcdhga11" "Pcdhga9" 93717 "PCDHGC5" 5098
"2565" "Pcdhga11" "Pcdhga9" 93717 "PCDHGC5" 56097
"2566" "Pcdhga11" "Pcdhga9" 93723 "PCDHGC5" 5098
"2567" "Pcdhga11" "Pcdhga9" 93723 "PCDHGC5" 56097
"2568" "Pcdhga11" "Pcdhga9" 93724 "PCDHGC5" 5098
"2569" "Pcdhga11" "Pcdhga9" 93724 "PCDHGC5" 56097
"2570" "Pcdhga11" "Pcdhga11" 93703 "PCDHGC5" 5098
"2571" "Pcdhga11" "Pcdhga11" 93703 "PCDHGC5" 56097
"2572" "Pcdhga11" "Pcdhga11" 93706 "PCDHGC5" 5098
"2573" "Pcdhga11" "Pcdhga11" 93706 "PCDHGC5" 56097
"2574" "Pcdhga11" "Pcdhga11" 93707 "PCDHGC5" 5098
"2575" "Pcdhga11" "Pcdhga11" 93707 "PCDHGC5" 56097
"2576" "Pcdhga11" "Pcdhga11" 93708 "PCDHGC5" 5098
"2577" "Pcdhga11" "Pcdhga11" 93708 "PCDHGC5" 56097
"2578" "Pcdhga11" "Pcdhga11" 93711 "PCDHGC5" 5098
"2579" "Pcdhga11" "Pcdhga11" 93711 "PCDHGC5" 56097
"2580" "Pcdhga11" "Pcdhga11" 93716 "PCDHGC5" 5098
"2581" "Pcdhga11" "Pcdhga11" 93716 "PCDHGC5" 56097
"2582" "Pcdhga11" "Pcdhga11" 93717 "PCDHGC5" 5098
"2583" "Pcdhga11" "Pcdhga11" 93717 "PCDHGC5" 56097
"2584" "Pcdhga11" "Pcdhga11" 93723 "PCDHGC5" 5098
"2585" "Pcdhga11" "Pcdhga11" 93723 "PCDHGC5" 56097
"2586" "Pcdhga11" "Pcdhga11" 93724 "PCDHGC5" 5098
"2587" "Pcdhga11" "Pcdhga11" 93724 "PCDHGC5" 56097
"2588" "Pcdhga11" "Pcdhga12" 93703 "PCDHGC5" 5098
"2589" "Pcdhga11" "Pcdhga12" 93703 "PCDHGC5" 56097
"2590" "Pcdhga11" "Pcdhga12" 93706 "PCDHGC5" 5098
"2591" "Pcdhga11" "Pcdhga12" 93706 "PCDHGC5" 56097
"2592" "Pcdhga11" "Pcdhga12" 93707 "PCDHGC5" 5098
"2593" "Pcdhga11" "Pcdhga12" 93707 "PCDHGC5" 56097
"2594" "Pcdhga11" "Pcdhga12" 93708 "PCDHGC5" 5098
"2595" "Pcdhga11" "Pcdhga12" 93708 "PCDHGC5" 56097
"2596" "Pcdhga11" "Pcdhga12" 93711 "PCDHGC5" 5098
"2597" "Pcdhga11" "Pcdhga12" 93711 "PCDHGC5" 56097
"2598" "Pcdhga11" "Pcdhga12" 93716 "PCDHGC5" 5098
"2599" "Pcdhga11" "Pcdhga12" 93716 "PCDHGC5" 56097
"2600" "Pcdhga11" "Pcdhga12" 93717 "PCDHGC5" 5098
"2601" "Pcdhga11" "Pcdhga12" 93717 "PCDHGC5" 56097
"2602" "Pcdhga11" "Pcdhga12" 93723 "PCDHGC5" 5098
"2603" "Pcdhga11" "Pcdhga12" 93723 "PCDHGC5" 56097
"2604" "Pcdhga11" "Pcdhga12" 93724 "PCDHGC5" 5098
"2605" "Pcdhga11" "Pcdhga12" 93724 "PCDHGC5" 56097
"2606" "Pcdhga12" "Pcdhgb6" 93703 "PCDHGC5" 5098
"2607" "Pcdhga12" "Pcdhgb6" 93703 "PCDHGC5" 56097
"2608" "Pcdhga12" "Pcdhgb6" 93706 "PCDHGC5" 5098
"2609" "Pcdhga12" "Pcdhgb6" 93706 "PCDHGC5" 56097
"2610" "Pcdhga12" "Pcdhgb6" 93707 "PCDHGC5" 5098
"2611" "Pcdhga12" "Pcdhgb6" 93707 "PCDHGC5" 56097
"2612" "Pcdhga12" "Pcdhgb6" 93708 "PCDHGC5" 5098
"2613" "Pcdhga12" "Pcdhgb6" 93708 "PCDHGC5" 56097
"2614" "Pcdhga12" "Pcdhgb6" 93711 "PCDHGC5" 5098
"2615" "Pcdhga12" "Pcdhgb6" 93711 "PCDHGC5" 56097
"2616" "Pcdhga12" "Pcdhgb6" 93716 "PCDHGC5" 5098
"2617" "Pcdhga12" "Pcdhgb6" 93716 "PCDHGC5" 56097
"2618" "Pcdhga12" "Pcdhgb6" 93717 "PCDHGC5" 5098
"2619" "Pcdhga12" "Pcdhgb6" 93717 "PCDHGC5" 56097
"2620" "Pcdhga12" "Pcdhgb6" 93723 "PCDHGC5" 5098
"2621" "Pcdhga12" "Pcdhgb6" 93723 "PCDHGC5" 56097
"2622" "Pcdhga12" "Pcdhgb6" 93724 "PCDHGC5" 5098
"2623" "Pcdhga12" "Pcdhgb6" 93724 "PCDHGC5" 56097
"2624" "Pcdhga12" "Pcdhgc3" 93703 "PCDHGC5" 5098
"2625" "Pcdhga12" "Pcdhgc3" 93703 "PCDHGC5" 56097
"2626" "Pcdhga12" "Pcdhgc3" 93706 "PCDHGC5" 5098
"2627" "Pcdhga12" "Pcdhgc3" 93706 "PCDHGC5" 56097
"2628" "Pcdhga12" "Pcdhgc3" 93707 "PCDHGC5" 5098
"2629" "Pcdhga12" "Pcdhgc3" 93707 "PCDHGC5" 56097
"2630" "Pcdhga12" "Pcdhgc3" 93708 "PCDHGC5" 5098
"2631" "Pcdhga12" "Pcdhgc3" 93708 "PCDHGC5" 56097
"2632" "Pcdhga12" "Pcdhgc3" 93711 "PCDHGC5" 5098
"2633" "Pcdhga12" "Pcdhgc3" 93711 "PCDHGC5" 56097
"2634" "Pcdhga12" "Pcdhgc3" 93716 "PCDHGC5" 5098
"2635" "Pcdhga12" "Pcdhgc3" 93716 "PCDHGC5" 56097
"2636" "Pcdhga12" "Pcdhgc3" 93717 "PCDHGC5" 5098
"2637" "Pcdhga12" "Pcdhgc3" 93717 "PCDHGC5" 56097
"2638" "Pcdhga12" "Pcdhgc3" 93723 "PCDHGC5" 5098
"2639" "Pcdhga12" "Pcdhgc3" 93723 "PCDHGC5" 56097
"2640" "Pcdhga12" "Pcdhgc3" 93724 "PCDHGC5" 5098
"2641" "Pcdhga12" "Pcdhgc3" 93724 "PCDHGC5" 56097
"2642" "Pcdhga12" "Pcdhgc4" 93703 "PCDHGC5" 5098
"2643" "Pcdhga12" "Pcdhgc4" 93703 "PCDHGC5" 56097
"2644" "Pcdhga12" "Pcdhgc4" 93706 "PCDHGC5" 5098
"2645" "Pcdhga12" "Pcdhgc4" 93706 "PCDHGC5" 56097
"2646" "Pcdhga12" "Pcdhgc4" 93707 "PCDHGC5" 5098
"2647" "Pcdhga12" "Pcdhgc4" 93707 "PCDHGC5" 56097
"2648" "Pcdhga12" "Pcdhgc4" 93708 "PCDHGC5" 5098
"2649" "Pcdhga12" "Pcdhgc4" 93708 "PCDHGC5" 56097
"2650" "Pcdhga12" "Pcdhgc4" 93711 "PCDHGC5" 5098
"2651" "Pcdhga12" "Pcdhgc4" 93711 "PCDHGC5" 56097
"2652" "Pcdhga12" "Pcdhgc4" 93716 "PCDHGC5" 5098
"2653" "Pcdhga12" "Pcdhgc4" 93716 "PCDHGC5" 56097
"2654" "Pcdhga12" "Pcdhgc4" 93717 "PCDHGC5" 5098
"2655" "Pcdhga12" "Pcdhgc4" 93717 "PCDHGC5" 56097
"2656" "Pcdhga12" "Pcdhgc4" 93723 "PCDHGC5" 5098
"2657" "Pcdhga12" "Pcdhgc4" 93723 "PCDHGC5" 56097
"2658" "Pcdhga12" "Pcdhgc4" 93724 "PCDHGC5" 5098
