Table S3a. Phylostraticraphic distribution of human genes (ENSEMBLE),,,
Protein_ID,Gene_ID,Phylostratum,Phylogenetic_Internode
ENSP00000350425,ENSG00000110244,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000365388,ENSG00000148459,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000353701,ENSG00000174483,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000346652,ENSG00000107614,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000278544,ENSG00000078124,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000374650,ENSG00000149256,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000303899,ENSG00000196326,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000367462,ENSG00000152463,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000309985,ENSG00000174194,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000346942,ENSG00000198250,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000263563,ENSG00000107719,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000294018,ENSG00000162105,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000330862,ENSG00000183715,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000300079,ENSG00000166840,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000227880,ENSG00000110446,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000366774,ENSG00000110076,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000309542,ENSG00000172647,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000263301,ENSG00000087884,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000340330,ENSG00000172977,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000352361,ENSG00000134461,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000363792,ENSG00000148513,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000277668,ENSG00000099251,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000306138,ENSG00000168959,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000263102,ENSG00000108091,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000212015,ENSG00000096717,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000341657,ENSG00000151500,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000373420,ENSG00000204130,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000367456,ENSG00000176244,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000344659,ENSG00000149328,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000227474,ENSG00000110060,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000255078,ENSG00000132740,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000346189,ENSG00000165325,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000309302,ENSG00000173120,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000305976,ENSG00000170145,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000278911,ENSG00000154134,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000277517,ENSG00000148377,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000307093,ENSG00000171533,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000228217,ENSG00000110777,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000369814,ENSG00000198610,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000352657,ENSG00000151376,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000369335,ENSG00000134452,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000344271,ENSG00000188234,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000326340,ENSG00000168010,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000352262,ENSG00000118058,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000263125,ENSG00000065675,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000360383,ENSG00000119969,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000364518,ENSG00000110243,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000278885,ENSG00000089597,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000310471,ENSG00000173914,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000316681,ENSG00000166004,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000304713,ENSG00000170903,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000196968,ENSG00000084207,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000308978,ENSG00000137478,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000317902,ENSG00000166037,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000263036,ENSG00000123240,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000322788,ENSG00000196611,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000307640,ENSG00000172425,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000332170,ENSG00000149380,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000350331,ENSG00000196372,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000374329,ENSG00000165323,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000224949,ENSG00000107959,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000224237,ENSG00000026025,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000280346,ENSG00000150768,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000185907,ENSG00000072444,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000287078,ENSG00000156521,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000319060,ENSG00000148660,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000354850,ENSG00000198408,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000328023,ENSG00000182934,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000364957,ENSG00000099246,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000253925,ENSG00000131626,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000278752,ENSG00000149428,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000255688,ENSG00000133321,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000366572,ENSG00000168067,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000351602,ENSG00000196371,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000351190,ENSG00000151655,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000305899,ENSG00000110066,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000347717,ENSG00000172893,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000334910,ENSG00000186642,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000364546,ENSG00000109917,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000365107,ENSG00000120539,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000238983,ENSG00000182333,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000299163,ENSG00000166135,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000340288,ENSG00000187776,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000332530,ENSG00000184719,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000363670,ENSG00000204204,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000360130,ENSG00000155640,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000364094,ENSG00000150093,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000358727,ENSG00000148834,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000366586,ENSG00000148482,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000278742,ENSG00000149418,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000337103,ENSG00000070748,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000304945,ENSG00000154133,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000368124,ENSG00000183049,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000277598,ENSG00000148450,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000260270,ENSG00000137714,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000374538,ENSG00000166105,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000348089,ENSG00000032514,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000370748,ENSG00000067064,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000353881,ENSG00000107758,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000368563,ENSG00000048740,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000362352,ENSG00000099284,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000360372,ENSG00000165841,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000358854,ENSG00000148835,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000358694,ENSG00000108039,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000285979,ENSG00000108242,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000367391,ENSG00000204973,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000312262,ENSG00000173020,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000348772,ENSG00000110697,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000298281,ENSG00000165494,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000260061,ENSG00000137507,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000363671,ENSG00000204205,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000361382,ENSG00000122852,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000350314,ENSG00000197580,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000282249,ENSG00000152402,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000311042,ENSG00000173876,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000360472,ENSG00000108231,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000277865,ENSG00000148672,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000363872,ENSG00000204236,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000366326,ENSG00000078114,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000360883,ENSG00000119917,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000362827,ENSG00000198739,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000366487,ENSG00000165997,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000359939,ENSG00000171311,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000260746,ENSG00000138175,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000311747,ENSG00000173959,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000314348,ENSG00000178105,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000278723,ENSG00000149403,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000367928,ENSG00000107537,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000370705,ENSG00000205699,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000279463,ENSG00000149972,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000364887,ENSG00000187240,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000368219,ENSG00000165609,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000339521,ENSG00000148484,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000265838,ENSG00000075239,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000347742,ENSG00000172367,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000348695,ENSG00000197467,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000263578,ENSG00000110074,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000360502,ENSG00000095464,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000347781,ENSG00000156042,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000282673,ENSG00000173239,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000279688,ENSG00000150175,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000361468,ENSG00000151208,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000260682,ENSG00000138109,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000265944,ENSG00000095777,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000329867,ENSG00000189311,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000352444,ENSG00000196693,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000350894,ENSG00000149257,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000278935,ENSG00000110274,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000366477,ENSG00000204741,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000322594,ENSG00000179331,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000299297,ENSG00000166224,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000349874,ENSG00000166321,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000339960,ENSG00000120457,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000238994,ENSG00000119938,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000347780,ENSG00000197120,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000256861,ENSG00000123243,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000366460,ENSG00000120594,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000340913,ENSG00000137672,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000278934,ENSG00000149571,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000265836,ENSG00000110660,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000353321,ENSG00000197798,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000299882,ENSG00000166682,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000260315,ENSG00000137757,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000369683,ENSG00000178363,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000351568,ENSG00000134910,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000365788,ENSG00000077327,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000335586,ENSG00000172671,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000260702,ENSG00000138131,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000339017,ENSG00000138138,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000311344,ENSG00000137713,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000315465,ENSG00000177103,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000370703,ENSG00000205697,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000260309,ENSG00000137752,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000306410,ENSG00000169126,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000278916,ENSG00000149554,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000369784,ENSG00000178462,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000364317,ENSG00000170759,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000260191,ENSG00000149305,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000265843,ENSG00000110723,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000358089,ENSG00000151923,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000362687,ENSG00000107625,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000359539,ENSG00000120053,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000362207,ENSG00000122863,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000360268,ENSG00000059573,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000298700,ENSG00000165806,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000225174,ENSG00000108179,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000358887,ENSG00000076685,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000320664,ENSG00000110347,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000328409,ENSG00000182359,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000227251,ENSG00000109846,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000239761,ENSG00000120586,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000351185,ENSG00000138346,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000361107,ENSG00000107779,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000359680,ENSG00000155252,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000359520,ENSG00000198018,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000279434,ENSG00000149962,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000359507,ENSG00000119929,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000358232,ENSG00000203837,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000365711,ENSG00000165309,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000362345,ENSG00000042286,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000330148,ENSG00000182771,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000260257,ENSG00000137702,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000363216,ENSG00000197444,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000352346,ENSG00000160613,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000339836,ENSG00000137648,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000367623,ENSG00000187522,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000362041,ENSG00000182180,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000342390,ENSG00000165983,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000359413,ENSG00000095485,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000360762,ENSG00000148677,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000362329,ENSG00000180817,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000363118,ENSG00000204147,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000340937,ENSG00000065618,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000358722,ENSG00000065621,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000263468,ENSG00000110318,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000364477,ENSG00000107968,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000363229,ENSG00000187714,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000353168,ENSG00000107937,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000211998,ENSG00000035403,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000345575,ENSG00000148719,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000358918,ENSG00000107882,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000365437,ENSG00000136750,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000286621,ENSG00000156110,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000360206,ENSG00000095587,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000354950,ENSG00000150275,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000360998,ENSG00000152766,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000286902,ENSG00000156367,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000278921,ENSG00000110002,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000350954,ENSG00000047056,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000368618,ENSG00000186848,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000370517,ENSG00000067057,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000363079,ENSG00000165471,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000350766,ENSG00000156113,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000366519,ENSG00000152487,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000344798,ENSG00000165731,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000367064,ENSG00000107611,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000366179,ENSG00000136770,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000285949,ENSG00000187553,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000332124,ENSG00000183748,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000358104,ENSG00000198873,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000360462,ENSG00000176273,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000359206,ENSG00000166167,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000359424,ENSG00000107566,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000360540,ENSG00000138180,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000373515,ENSG00000188316,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000360895,ENSG00000107798,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000370254,ENSG00000187134,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000280961,ENSG00000151303,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000265371,ENSG00000099250,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000361366,ENSG00000133661,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000346120,ENSG00000165732,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000335498,ENSG00000171160,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000361007,ENSG00000204022,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000314018,ENSG00000166024,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000279873,ENSG00000150347,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000363168,ENSG00000204149,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000359380,ENSG00000099194,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000306163,ENSG00000165887,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000353729,ENSG00000197704,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000308466,ENSG00000108187,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000361932,ENSG00000196968,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000371067,ENSG00000096968,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000360317,ENSG00000138115,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000361207,ENSG00000165678,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000318480,ENSG00000136758,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000306678,ENSG00000170209,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000368319,ENSG00000065665,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000348140,ENSG00000197220,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000225171,ENSG00000108176,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000265990,ENSG00000095564,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000340609,ENSG00000188716,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000342817,ENSG00000172650,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000361000,ENSG00000204021,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000361390,ENSG00000122854,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000321108,ENSG00000107742,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000358223,ENSG00000175535,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000280772,ENSG00000151150,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000363666,ENSG00000204202,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000363055,ENSG00000122952,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000358812,ENSG00000148843,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000362321,ENSG00000172731,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000299299,ENSG00000166228,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000310657,ENSG00000166507,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000360869,ENSG00000185745,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000363512,ENSG00000012779,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000343022,ENSG00000152779,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000284690,ENSG00000089876,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000333947,ENSG00000182022,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000332444,ENSG00000177613,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000354720,ENSG00000108055,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000357672,ENSG00000148848,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000357873,ENSG00000196177,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000276925,ENSG00000147883,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000349568,ENSG00000197748,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000260731,ENSG00000138160,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000298215,ENSG00000165449,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000224356,ENSG00000095596,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000352678,ENSG00000156502,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000346714,ENSG00000204169,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000364170,ENSG00000150076,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000363140,ENSG00000188611,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000309595,ENSG00000107815,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000358718,ENSG00000120051,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000371169,ENSG00000120158,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000350733,ENSG00000120049,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000359149,ENSG00000107829,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000224600,ENSG00000107618,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000367316,ENSG00000077943,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000327376,ENSG00000182077,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000242475,ENSG00000122872,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000263035,ENSG00000181192,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000340296,ENSG00000173124,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000358770,ENSG00000065613,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000358039,ENSG00000107669,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000363304,ENSG00000107643,1,Life before LCA of Cellular_organisms - Cellular organisms
ENSP00000358383,ENSG00000148702,1,Life before LCA of Cellular_organisms - Cellular organisms
